,external_urls__spotify,followers__href,followers__total,genres__001,genres__002,genres__003,genres__004,genres__005,href,id,images__height,images__url,images__width,name,popularity,type,uri,genres__006,genres__007,genres__008,genres__009,genres__010,genres__011,genres__012,genres__013,genres__014,genres__015,genres__016,genres__017,genres__018,genres__019
0,https://open.spotify.com/artist/6kBDZFXuLrZgHnvmPu9NsG,,633347.0,ambient,braindance,electronica,intelligent dance music,uk experimental electronic,https://api.spotify.com/v1/artists/6kBDZFXuLrZgHnvmPu9NsG,6kBDZFXuLrZgHnvmPu9NsG,640,https://i.scdn.co/image/5630c4ae80c6d8cb16f021fdf5b4fc28c90420ab,640,gej,65.0,artist,spotify:artist:6kBDZFXuLrZgHnvmPu9NsG,,,,,,,,,,,,,,
3,https://open.spotify.com/artist/75xNYf2GU5wtQqBrd74SlY,,34636.0,dark trap,,,,,https://api.spotify.com/v1/artists/75xNYf2GU5wtQqBrd74SlY,75xNYf2GU5wtQqBrd74SlY,640,https://i.scdn.co/image/584bb5aa6fe65794009e4a1aca06f78da1d319cc,640,gej,49.0,artist,spotify:artist:75xNYf2GU5wtQqBrd74SlY,,,,,,,,,,,,,,
6,https://open.spotify.com/artist/4SQdUpG4f7UbkJG3cJ2Iyj,,150764.0,art pop,dance pop,deconstructed club,electropop,escape room,https://api.spotify.com/v1/artists/4SQdUpG4f7UbkJG3cJ2Iyj,4SQdUpG4f7UbkJG3cJ2Iyj,640,https://i.scdn.co/image/c56cf774b9ffa40e0af35ff9b0c03162e02a7968,640,gej,58.0,artist,spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj,experimental pop,fluxwork,indie r&b,,,,,,,,,,,
9,https://open.spotify.com/artist/7Eu1txygG6nJttLHbZdQOh,,470594.0,alternative dance,electronica,folktronica,indie soul,intelligent dance music,https://api.spotify.com/v1/artists/7Eu1txygG6nJttLHbZdQOh,7Eu1txygG6nJttLHbZdQOh,640,https://i.scdn.co/image/f96458025a0640bf1d3c8f764a42ec21d4db1eae,640,gej,67.0,artist,spotify:artist:7Eu1txygG6nJttLHbZdQOh,new rave,,,,,,,,,,,,,
12,https://open.spotify.com/artist/6nxWCVXbOlEVRexSbLsTer,,2068064.0,australian dance,australian electropop,australian indie,downtempo,edm,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,6nxWCVXbOlEVRexSbLsTer,640,https://i.scdn.co/image/0436e3871c9f88b8f83559a70fd8d2f22cb3fd01,640,gej,78.0,artist,spotify:artist:6nxWCVXbOlEVRexSbLsTer,,,,,,,,,,,,,,
15,https://open.spotify.com/artist/0Y4inQK6OespitzD6ijMwb,,553002.0,alternative hip hop,hip hop,indiana hip hop,rap,southern hip hop,https://api.spotify.com/v1/artists/0Y4inQK6OespitzD6ijMwb,0Y4inQK6OespitzD6ijMwb,640,https://i.scdn.co/image/b0e5695a33f4b5fe6490203ef065bea17f052916,640,gej,72.0,artist,spotify:artist:0Y4inQK6OespitzD6ijMwb,underground hip hop,,,,,,,,,,,,,
18,https://open.spotify.com/artist/7K3zpFXBvPcvzhj7zlGJdO,,781932.0,alternative dance,bitpop,dance-punk,digital hardcore,electronica,https://api.spotify.com/v1/artists/7K3zpFXBvPcvzhj7zlGJdO,7K3zpFXBvPcvzhj7zlGJdO,1000,https://i.scdn.co/image/5419a05563a9ba8cb16fe207199c298f621eef85,1000,gej,66.0,artist,spotify:artist:7K3zpFXBvPcvzhj7zlGJdO,indietronica,neo-synthpop,new rave,nintendocore,nu gaze,,,,,,,,,
22,https://open.spotify.com/artist/2aoFQUeHD1U7pL098lRsDU,,300707.0,alternative hip hop,hip hop,psychedelic hip hop,rap,,https://api.spotify.com/v1/artists/2aoFQUeHD1U7pL098lRsDU,2aoFQUeHD1U7pL098lRsDU,1000,https://i.scdn.co/image/bc99e9cb1976fcecb929d819b3dfc6f6fabca500,1000,gej,64.0,artist,spotify:artist:2aoFQUeHD1U7pL098lRsDU,,,,,,,,,,,,,,
26,https://open.spotify.com/artist/0uCCBpmg6MrPb1KY2msceF,,281277.0,bass music,classic dubstep,electronica,future garage,hauntology,https://api.spotify.com/v1/artists/0uCCBpmg6MrPb1KY2msceF,0uCCBpmg6MrPb1KY2msceF,504,https://i.scdn.co/image/e8e7ac38910768ed522981fbbfcc46baba7b0c12,703,gej,53.0,artist,spotify:artist:0uCCBpmg6MrPb1KY2msceF,intelligent dance music,microhouse,wonky,,,,,,,,,,,
30,https://open.spotify.com/artist/1DGpHnPOpMYY780hcQHmPB,,33679.0,ambient,art pop,fourth world,j-ambient,,https://api.spotify.com/v1/artists/1DGpHnPOpMYY780hcQHmPB,1DGpHnPOpMYY780hcQHmPB,640,https://i.scdn.co/image/e4584af9a86555365e442291714e6b0658bb847d,640,gej,47.0,artist,spotify:artist:1DGpHnPOpMYY780hcQHmPB,,,,,,,,,,,,,,
33,https://open.spotify.com/artist/3A5tHz1SfngyOZM2gItYKu,,1283518.0,alternative hip hop,escape room,experimental hip hop,hip hop,rap,https://api.spotify.com/v1/artists/3A5tHz1SfngyOZM2gItYKu,3A5tHz1SfngyOZM2gItYKu,640,https://i.scdn.co/image/df0ce0e119e1d5006ea986e27414256d85c08c50,640,gej,71.0,artist,spotify:artist:3A5tHz1SfngyOZM2gItYKu,underground hip hop,,,,,,,,,,,,,
36,https://open.spotify.com/artist/6WH1V41LwGDGmlPUhSZLHO,,131910.0,abstract,ambient,ambient techno,art pop,bass music,https://api.spotify.com/v1/artists/6WH1V41LwGDGmlPUhSZLHO,6WH1V41LwGDGmlPUhSZLHO,640,https://i.scdn.co/image/4498e58c0d7726ad42312dd3b04109712818d42d,640,gej,47.0,artist,spotify:artist:6WH1V41LwGDGmlPUhSZLHO,deep idm,drill and bass,electro,electronica,experimental,glitch,intelligent dance music,microhouse,ninja,outsider house,techno,uk experimental electronic,,
