"external_urls__spotify","followers__href","followers__total","genres__001","genres__002","genres__003","genres__004","genres__005","href","id","images__height","images__url","images__width","name","popularity","type","uri","genres__006","genres__007","genres__008","genres__009","genres__010","genres__011","genres__012","genres__013","genres__014","genres__015","genres__016","genres__017","genres__018","genres__019"
"https://open.spotify.com/artist/6kBDZFXuLrZgHnvmPu9NsG","null","633347","ambient","braindance","electronica","intelligent dance music","uk experimental electronic","https://api.spotify.com/v1/artists/6kBDZFXuLrZgHnvmPu9NsG","6kBDZFXuLrZgHnvmPu9NsG","640","https://i.scdn.co/image/5630c4ae80c6d8cb16f021fdf5b4fc28c90420ab","640","Aphex Twin","65","artist","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/a32a5f5bf9403b084752aec85a5bc3bba1677d1c","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/9b7f4964f60406ace00cd8c33ccc9147a005fae4","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/75xNYf2GU5wtQqBrd74SlY","null","34636","dark trap","","","","","https://api.spotify.com/v1/artists/75xNYf2GU5wtQqBrd74SlY","75xNYf2GU5wtQqBrd74SlY","640","https://i.scdn.co/image/584bb5aa6fe65794009e4a1aca06f78da1d319cc","640","Zheani","49","artist","spotify:artist:75xNYf2GU5wtQqBrd74SlY","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/e4cbfa498ac299c48b612a32103030b07af2cc59","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/56c243a9f647fe7d186e650afab9e54599276d98","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/4SQdUpG4f7UbkJG3cJ2Iyj","null","150764","art pop","dance pop","deconstructed club","electropop","escape room","https://api.spotify.com/v1/artists/4SQdUpG4f7UbkJG3cJ2Iyj","4SQdUpG4f7UbkJG3cJ2Iyj","640","https://i.scdn.co/image/c56cf774b9ffa40e0af35ff9b0c03162e02a7968","640","Arca","58","artist","spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj","experimental pop","fluxwork","indie r&b","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/f6b4086b78f80f3d1a08c6bf4cae1c34d45bd8f6","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/21f7551bb66e0df45e53eca52aefd14b8f44ef9e","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/7Eu1txygG6nJttLHbZdQOh","null","470594","alternative dance","electronica","folktronica","indie soul","intelligent dance music","https://api.spotify.com/v1/artists/7Eu1txygG6nJttLHbZdQOh","7Eu1txygG6nJttLHbZdQOh","640","https://i.scdn.co/image/f96458025a0640bf1d3c8f764a42ec21d4db1eae","640","Four Tet","67","artist","spotify:artist:7Eu1txygG6nJttLHbZdQOh","new rave","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/4547d5656309079fdfc73bef86a3c327cd59a3ea","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/e512f91d540d864906d36a850ecb9ad5d562d262","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/6nxWCVXbOlEVRexSbLsTer","null","2068064","australian dance","australian electropop","australian indie","downtempo","edm","https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer","6nxWCVXbOlEVRexSbLsTer","640","https://i.scdn.co/image/0436e3871c9f88b8f83559a70fd8d2f22cb3fd01","640","Flume","78","artist","spotify:artist:6nxWCVXbOlEVRexSbLsTer","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/6b58820d8b73ed2e61d27121c0802d7631414d6d","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/7ac9ab91bd347f8eb5fb451be780a805624617b3","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/0Y4inQK6OespitzD6ijMwb","null","553002","alternative hip hop","hip hop","indiana hip hop","rap","southern hip hop","https://api.spotify.com/v1/artists/0Y4inQK6OespitzD6ijMwb","0Y4inQK6OespitzD6ijMwb","640","https://i.scdn.co/image/b0e5695a33f4b5fe6490203ef065bea17f052916","640","Freddie Gibbs","72","artist","spotify:artist:0Y4inQK6OespitzD6ijMwb","underground hip hop","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/e6528639a9d44a039fffaf4bf0d069acac2f8d0b","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/57148d8b788b7a39b8b9efe77252d561dcb10bb0","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/7K3zpFXBvPcvzhj7zlGJdO","null","781932","alternative dance","bitpop","dance-punk","digital hardcore","electronica","https://api.spotify.com/v1/artists/7K3zpFXBvPcvzhj7zlGJdO","7K3zpFXBvPcvzhj7zlGJdO","1000","https://i.scdn.co/image/5419a05563a9ba8cb16fe207199c298f621eef85","1000","Crystal Castles","66","artist","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","indietronica","neo-synthpop","new rave","nintendocore","nu gaze","","","","","","","","",""
"","","","","","","","","","","640","https://i.scdn.co/image/d90a0865e8bca5e5084049e8adc3485b3880848e","640","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","200","https://i.scdn.co/image/455a70605e44303c96a4438012598e5ac0260d58","200","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","64","https://i.scdn.co/image/8b202585f9dedf2f7e73dc80cac8ba40e941e7ff","64","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/2aoFQUeHD1U7pL098lRsDU","null","300707","alternative hip hop","hip hop","psychedelic hip hop","rap","","https://api.spotify.com/v1/artists/2aoFQUeHD1U7pL098lRsDU","2aoFQUeHD1U7pL098lRsDU","1000","https://i.scdn.co/image/bc99e9cb1976fcecb929d819b3dfc6f6fabca500","1000","Madvillain","64","artist","spotify:artist:2aoFQUeHD1U7pL098lRsDU","","","","","","","","","","","","","",""
"","","","","","","","","","","640","https://i.scdn.co/image/9d7ed68679a970b86faaea230d16334baba5ed4b","640","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","200","https://i.scdn.co/image/3c14d3a5bf0dbc50595b6d5001633aae9d9e2b5f","200","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","64","https://i.scdn.co/image/ad65acde29d51f7f62a9307815d5b9029be3bb64","64","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/0uCCBpmg6MrPb1KY2msceF","null","281277","bass music","classic dubstep","electronica","future garage","hauntology","https://api.spotify.com/v1/artists/0uCCBpmg6MrPb1KY2msceF","0uCCBpmg6MrPb1KY2msceF","504","https://i.scdn.co/image/e8e7ac38910768ed522981fbbfcc46baba7b0c12","703","Burial","53","artist","spotify:artist:0uCCBpmg6MrPb1KY2msceF","intelligent dance music","microhouse","wonky","","","","","","","","","","",""
"","","","","","","","","","","459","https://i.scdn.co/image/70180155163bd7b14dd3f69905de214433297ef8","640","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","143","https://i.scdn.co/image/867560cdb26864f71fdc47cde5e635bd37d81a0d","199","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","46","https://i.scdn.co/image/e515df2f4ff4ce3abd23dd26dd34333fc1d030e7","64","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/1DGpHnPOpMYY780hcQHmPB","null","33679","ambient","art pop","fourth world","j-ambient","","https://api.spotify.com/v1/artists/1DGpHnPOpMYY780hcQHmPB","1DGpHnPOpMYY780hcQHmPB","640","https://i.scdn.co/image/e4584af9a86555365e442291714e6b0658bb847d","640","Hiroshi Yoshimura","47","artist","spotify:artist:1DGpHnPOpMYY780hcQHmPB","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/c9413bb912f581892fdf527a3cf7e40b729e4a00","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/b687bce989fb34ae4f03fe03ff2184c18c8baa74","160","","","","","","","","","","","","","","","","","",""
